Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Team
Shumaira Mheuka,ENG,MF,16.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea
Aaron Anselmino,ARG,DF,19.0,0,0,,,,,,,,,,,Chelsea
Genesis Antwi,SWE,MF,17.0,0,0,,,,,,,,,,,Chelsea
Marcus Bettinelli,ENG,GK,32.0,0,0,,,,,,,,,,,Chelsea
Cesare Casadei,ITA,MF,21.0,0,0,,,,,,,,,,,Chelsea
Samuel Rak-Sakyi,ENG,MF,19.0,0,0,,,,,,,,,,,Chelsea
Ishé Samuels-Smith,ENG,DF,18.0,0,0,,,,,,,,,,,Chelsea
Dean Henderson,ENG,GK,27.0,38,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Crystal Palace
Daniel Muñoz,COL,DF,28.0,37,37,"3,228",35.9,4.0,5.0,9.0,4.0,0.0,0.0,10.0,0.0,Crystal Palace
Tyrick Mitchell,ENG,DF,24.0,37,37,"3,092",34.4,0.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,Crystal Palace
Maxence Lacroix,FRA,DF,24.0,35,35,"3,116",34.6,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,Crystal Palace
Marc Guéhi,ENG,DF,24.0,34,34,"3,059",34.0,3.0,2.0,5.0,3.0,0.0,0.0,9.0,1.0,Crystal Palace
Jean-Philippe Mateta,FRA,FW,27.0,37,33,"2,648",29.4,14.0,2.0,16.0,12.0,2.0,2.0,2.0,0.0,Crystal Palace
Eberechi Eze,ENG,"MF,FW",26.0,34,31,"2,588",28.8,8.0,8.0,16.0,7.0,1.0,2.0,1.0,0.0,Crystal Palace
Ismaila Sarr,SEN,MF,26.0,38,30,"2,711",30.1,8.0,6.0,14.0,8.0,0.0,0.0,4.0,0.0,Crystal Palace
Jefferson Lerma,COL,"MF,DF",29.0,33,26,"2,274",25.3,0.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,Crystal Palace
Will Hughes,ENG,MF,29.0,33,24,"2,108",23.4,0.0,3.0,3.0,0.0,0.0,0.0,11.0,0.0,Crystal Palace
Chris Richards,USA,DF,24.0,24,22,"1,922",21.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,Crystal Palace
Adam Wharton,ENG,MF,20.0,20,16,"1,318",14.6,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,Crystal Palace
Daichi Kamada,JPN,MF,27.0,34,15,"1,564",17.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,Crystal Palace
Trevoh Chalobah,ENG,DF,25.0,12,12,"1,060",11.8,3.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,Crystal Palace
Eddie Nketiah,ENG,"FW,MF",25.0,29,9,"1,034",11.5,3.0,1.0,4.0,3.0,0.0,0.0,6.0,1.0,Crystal Palace
Nathaniel Clyne,ENG,"DF,MF",33.0,13,5,483,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Crystal Palace
Justin Devenny,NIR,MF,20.0,23,4,507,5.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,Crystal Palace
Cheick Doucouré,MLI,MF,24.0,13,4,452,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Crystal Palace
Ben Chilwell,ENG,DF,27.0,8,1,259,2.9,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,Crystal Palace
Romain Esse,ENG,MF,19.0,7,1,138,1.5,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,Crystal Palace
Odsonne Édouard,FRA,"MF,FW",26.0,2,1,115,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace
Joachim Andersen,DEN,DF,28.0,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Crystal Palace
Chadi Riad,MAR,DF,21.0,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace
Joel Ward,ENG,DF,34.0,2,1,71,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Crystal Palace
Jeffrey Schlupp,GHA,"MF,DF",31.0,12,0,103,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace
Matheus França,BRA,"MF,FW",20.0,4,0,55,0.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Crystal Palace
Jordan Ayew,GHA,"FW,MF",32.0,1,0,21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Crystal Palace
Caleb Kporha,ENG,DF,18.0,2,0,13,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace
Asher Agbinone,ENG,MF,18.0,2,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace
Naouirou Ahamada,FRA,MF,22.0,0,0,,,,,,,,,,,Crystal Palace
Rob Holding,ENG,DF,28.0,0,0,,,,,,,,,,,Crystal Palace
Sam Johnstone,ENG,GK,31.0,0,0,,,,,,,,,,,Crystal Palace
Zachariah Marsh,ENG,FW,18.0,0,0,,,,,,,,,,,Crystal Palace
Remi Matthews,ENG,GK,30.0,0,0,,,,,,,,,,,Crystal Palace
Kaden Rodney,ENG,"DF,MF",19.0,0,0,,,,,,,,,,,Crystal Palace
Matt Turner,USA,GK,30.0,0,0,,,,,,,,,,,Crystal Palace
Franco Umeh-Chibueze,IRL,MF,19.0,0,0,,,,,,,,,,,Crystal Palace
Jordan Pickford,ENG,GK,30.0,38,38,"3,420",38.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,Everton
Vitaliy Mykolenko,UKR,DF,25.0,35,35,"3,082",34.2,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,Everton
Idrissa Gana Gueye,SEN,MF,34.0,37,35,"3,063",34.0,0.0,3.0,3.0,0.0,0.0,0.0,9.0,0.0,Everton
James Tarkowski,ENG,DF,31.0,33,33,"2,922",32.5,1.0,1.0,2.0,1.0,0.0,0.0,6.0,0.0,Everton
Abdoulaye Doucouré,MLI,MF,31.0,33,31,"2,564",28.5,3.0,2.0,5.0,3.0,0.0,0.0,5.0,1.0,Everton
Iliman Ndiaye,SEN,FW,24.0,33,29,"2,430",27.0,9.0,0.0,9.0,7.0,2.0,2.0,3.0,0.0,Everton
Jarrad Branthwaite,ENG,DF,22.0,30,28,"2,511",27.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,Everton
Jack Harrison,ENG,FW,27.0,34,24,"2,076",23.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Everton
Ashley Young,ENG,DF,39.0,32,19,"1,875",20.8,1.0,3.0,4.0,1.0,0.0,0.0,7.0,1.0,Everton
Dominic Calvert-Lewin,ENG,FW,27.0,26,19,"1,609",17.9,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,Everton
James Garner,ENG,"MF,DF",23.0,21,17,"1,594",17.7,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,Everton
Jake O'Brien,IRL,DF,23.0,20,17,"1,571",17.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,Everton
Beto,GNB,FW,26.0,30,15,"1,534",17.0,8.0,0.0,8.0,8.0,0.0,0.0,2.0,0.0,Everton
Dwight McNeil,ENG,"MF,FW",24.0,21,15,"1,371",15.2,4.0,6.0,10.0,4.0,0.0,0.0,1.0,0.0,Everton
Jesper Lindstrøm,DEN,FW,24.0,25,15,"1,239",13.8,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Everton
Orel Mangala,BEL,MF,26.0,19,14,"1,261",14.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,Everton
Michael Keane,ENG,DF,31.0,14,11,"1,049",11.7,3.0,0.0,3.0,3.0,0.0,0.0,5.0,0.0,Everton
Carlos Alcaraz,ARG,"FW,MF",21.0,15,7,764,8.5,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,Everton
Tim Iroegbunam,ENG,MF,21.0,18,5,574,6.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,Everton
Armando Broja,ALB,FW,22.0,10,4,334,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Everton
Nathan Patterson,SCO,DF,22.0,10,3,347,3.9,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Everton
Séamus Coleman,IRL,DF,35.0,5,3,215,2.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Everton
Roman Dixon,ENG,DF,19.0,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
Harrison Armstrong,ENG,MF,17.0,3,0,48,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Everton
Youssef Chermiti,POR,"FW,MF",20.0,4,0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Everton
Mason Holgate,JAM,"FW,DF",27.0,1,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton
Callum Bates,ENG,MF,18.0,0,0,,,,,,,,,,,Everton
Asmir Begović,BIH,GK,37.0,0,0,,,,,,,,,,,Everton
Coby Ebere,GER,MF,18.0,0,0,,,,,,,,,,,Everton
Isaac Heath,ENG,MF,19.0,0,0,,,,,,,,,,,Everton
Neal Maupay,FRA,"FW,MF",27.0,0,0,,,,,,,,,,,Everton
Jenson Metcalfe,ENG,MF,19.0,0,0,,,,,,,,,,,Everton
Martin Sherif,NED,FW,18.0,0,0,,,,,,,,,,,Everton
João Virgínia,POR,GK,24.0,0,0,,,,,,,,,,,Everton
Reece Welch,ENG,DF,20.0,0,0,,,,,,,,,,,Everton
Bernd Leno,GER,GK,32.0,38,38,"3,420",38.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,Fulham
Antonee Robinson,USA,DF,26.0,36,35,"3,167",35.2,0.0,10.0,10.0,0.0,0.0,0.0,8.0,0.0,Fulham
Alex Iwobi,NGA,"FW,MF",28.0,38,35,"2,981",33.1,9.0,6.0,15.0,9.0,0.0,0.0,1.0,0.0,Fulham
Calvin Bassey,NGA,DF,24.0,35,34,"3,074",34.2,1.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,Fulham
Raúl Jiménez,MEX,FW,33.0,38,30,"2,494",27.7,12.0,3.0,15.0,9.0,3.0,3.0,4.0,0.0,Fulham
Joachim Andersen,DEN,DF,28.0,29,29,"2,583",28.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,Fulham
Saša Lukić,SRB,MF,27.0,30,28,"2,344",26.0,0.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,Fulham
Sander Berge,NOR,MF,26.0,31,26,"2,224",24.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,Fulham
Emile Smith Rowe,ENG,MF,24.0,34,25,"2,043",22.7,6.0,3.0,9.0,6.0,0.0,0.0,3.0,0.0,Fulham
Andreas Pereira,BRA,MF,28.0,33,25,"2,013",22.4,2.0,4.0,6.0,2.0,0.0,1.0,7.0,0.0,Fulham
Kenny Tete,NED,DF,28.0,22,21,"1,774",19.7,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,Fulham
Adama Traoré,ESP,"FW,MF",28.0,36,18,"1,772",19.7,2.0,7.0,9.0,2.0,0.0,0.0,3.0,0.0,Fulham
Timothy Castagne,BEL,DF,28.0,24,17,"1,649",18.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Fulham
Issa Diop,FRA,DF,27.0,21,15,"1,339",14.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Fulham
Harry Wilson,WAL,"FW,MF",27.0,25,12,"1,162",12.9,6.0,1.0,7.0,6.0,0.0,0.0,2.0,0.0,Fulham
Rodrigo Muniz,BRA,FW,23.0,31,8,964,10.7,8.0,1.0,9.0,8.0,0.0,0.0,1.0,0.0,Fulham
Ryan Sessegnon,ENG,"FW,DF",24.0,16,7,580,6.4,4.0,2.0,6.0,4.0,0.0,0.0,1.0,0.0,Fulham
Reiss Nelson,ENG,FW,24.0,11,5,487,5.4,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,Fulham
Jorge Cuenca,ESP,DF,24.0,8,4,351,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Tom Cairney,SCO,MF,33.0,25,3,628,7.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,Fulham
Willian,BRA,"FW,MF",35.0,10,2,257,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Joshua King,ENG,MF,17.0,8,1,130,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Harrison Reed,ENG,MF,29.0,12,0,108,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Fulham
Martial Godo,ENG,"FW,DF",21.0,2,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Carlos Vinícius,BRA,"MF,FW",29.0,3,0,16,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Jay Stansfield,ENG,MF,21.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fulham
Samuel Amissah,ENG,DF,17.0,0,0,,,,,,,,,,,Fulham
Steven Benda,GER,GK,25.0,0,0,,,,,,,,,,,Fulham
Dara O'Shea,IRL,DF,25.0,35,35,"3,122",34.7,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,Ipswich Town
Leif Davis,ENG,DF,24.0,33,32,"2,743",30.5,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,Ipswich Town
Liam Delap,ENG,FW,21.0,37,32,"2,593",28.8,12.0,2.0,14.0,10.0,2.0,2.0,12.0,0.0,Ipswich Town
Sam Morsy,EGY,MF,32.0,33,31,"2,751",30.6,1.0,1.0,2.0,1.0,0.0,0.0,10.0,0.0,Ipswich Town
Omari Hutchinson,ENG,"MF,FW",20.0,31,30,"2,583",28.7,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,Ipswich Town
Jacob Greaves,ENG,DF,23.0,25,25,"2,205",24.5,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,Ipswich Town
Jens Cajuste,SWE,MF,24.0,30,25,"1,959",21.8,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,Ipswich Town
Axel Tuanzebe,COD,DF,26.0,22,20,"1,710",19.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,Ipswich Town
Arijanet Muric,KVX,GK,25.0,18,18,"1,620",18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ipswich Town
Cameron Burgess,AUS,DF,28.0,18,16,"1,541",17.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
Ben Johnson,ENG,"DF,FW",24.0,23,14,"1,354",15.0,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,Ipswich Town
Kalvin Phillips,ENG,MF,28.0,19,14,"1,237",13.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,Ipswich Town
Alex Palmer,ENG,GK,27.0,13,13,"1,170",13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Ipswich Town
Sammie Szmodics,IRL,"FW,MF",28.0,20,13,992,11.0,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,Ipswich Town
Luke Woolfenden,ENG,DF,25.0,15,12,"1,187",13.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Ipswich Town
Jack Clarke,ENG,"FW,MF",23.0,32,12,"1,181",13.1,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,Ipswich Town
Wes Burns,WAL,"FW,DF",29.0,18,12,926,10.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Ipswich Town
Julio Enciso,PAR,"MF,FW",20.0,13,12,869,9.7,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,Ipswich Town
Conor Chaplin,ENG,"MF,FW",27.0,22,10,857,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,Ipswich Town
Nathan Broadhead,WAL,"MF,FW",26.0,18,7,702,7.8,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,Ipswich Town
Christian Walton,ENG,GK,28.0,7,7,630,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
George Hirst,SCO,FW,25.0,26,5,661,7.3,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,Ipswich Town
Jaden Philogene Bidace,ENG,"FW,DF",22.0,10,5,474,5.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,Ipswich Town
Jack Taylor,IRL,MF,26.0,32,4,860,9.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,Ipswich Town
Harry Clarke,ENG,DF,23.0,7,4,379,4.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,Ipswich Town
Conor Townsend,ENG,DF,31.0,6,3,335,3.7,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Ipswich Town
Chiedozie Ogbene,IRL,FW,27.0,5,3,238,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
Massimo Luongo,AUS,MF,31.0,11,2,201,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
Ben Godfrey,ENG,DF,26.0,3,2,159,1.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ipswich Town
Ali Al Hamadi,IRQ,FW,22.0,11,0,134,1.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Ipswich Town
Marcus Harness,ENG,MF,28.0,2,0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
George Edmundson,ENG,DF,26.0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ipswich Town
Somto Boniface,ENG,DF,18.0,0,0,,,,,,,,,,,Ipswich Town
Cieran Slicker,SCO,GK,21.0,0,0,,,,,,,,,,,Ipswich Town
Tom Taylor,,MF,,0,0,,,,,,,,,,,Ipswich Town
Jamie Vardy,ENG,FW,37.0,35,35,"2,823",31.4,9.0,4.0,13.0,8.0,1.0,2.0,5.0,0.0,Leicester City
James Justin,ENG,DF,26.0,36,34,"2,912",32.4,2.0,2.0,4.0,2.0,0.0,0.0,6.0,0.0,Leicester City
Wout Faes,BEL,DF,26.0,34,30,"2,815",31.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,Leicester City
Victor Bernth Kristiansen,DEN,DF,21.0,30,29,"2,482",27.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Leicester City
Wilfred Ndidi,NGA,MF,27.0,28,28,"2,324",25.8,0.0,5.0,5.0,0.0,0.0,0.0,8.0,0.0,Leicester City
Mads Hermansen,DEN,GK,24.0,27,27,"2,385",26.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Leicester City
Bilal El Khannouss,MAR,"MF,FW",20.0,32,27,"2,182",24.2,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,Leicester City
Boubakary Soumaré,FRA,MF,25.0,31,25,"2,171",24.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Leicester City
Conor Coady,ENG,DF,31.0,22,19,"1,714",19.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,Leicester City
Jordan Ayew,GHA,"FW,MF",32.0,30,19,"1,638",18.2,5.0,0.0,5.0,4.0,1.0,1.0,5.0,0.0,Leicester City
Harry Winks,ENG,MF,28.0,22,17,"1,538",17.1,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,Leicester City
Stephy Mavididi,ENG,FW,26.0,30,16,"1,615",17.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,Leicester City
Jannik Vestergaard,DEN,DF,31.0,18,16,"1,391",15.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,Leicester City
Facundo Buonanotte,ARG,"FW,MF",19.0,31,14,"1,523",16.9,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,Leicester City
Luke Thomas,ENG,DF,23.0,14,13,"1,110",12.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,Leicester City
Caleb Okoli,ITA,DF,23.0,19,12,"1,125",12.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,Leicester City
Oliver Skipp,ENG,MF,23.0,24,10,"1,129",12.5,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,Leicester City
Jakub Stolarczyk,POL,GK,23.0,10,10,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Leicester City
Kasey McAteer,IRL,FW,22.0,18,9,852,9.5,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,Leicester City
Bobby De Cordova-Reid,JAM,FW,31.0,23,9,744,8.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,Leicester City
Patson Daka,ZAM,"FW,MF",25.0,23,6,736,8.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,Leicester City
Abdul Fatawu Issahaku,GHA,FW,20.0,11,6,579,6.4,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,Leicester City
Ricardo Pereira,POR,DF,30.0,10,4,388,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Leicester City
Danny Ward,WAL,GK,31.0,2,1,135,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
Hamza Choudhury,BAN,"MF,DF",26.0,4,1,131,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
Woyo Coulibaly,MLI,DF,25.0,4,1,109,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Leicester City
Jeremy Monga,,"FW,MF",15.0,7,0,112,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
Odsonne Édouard,FRA,FW,26.0,4,0,29,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
Jake Evans,,FW,,4,0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
Olabade Aluko,,DF,,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
Will Alves,ENG,FW,19.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
Michael Golding,ENG,MF,18.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester City
Sammy Braybrooke,ENG,MF,20.0,0,0,,,,,,,,,,,Leicester City
Thomas Cannon,IRL,FW,21.0,0,0,,,,,,,,,,,Leicester City
Henry Cartwright,ENG,MF,19.0,0,0,,,,,,,,,,,Leicester City
Daniel Iversen,DEN,GK,27.0,0,0,,,,,,,,,,,Leicester City
Benjamin Nelson,ENG,DF,20.0,0,0,,,,,,,,,,,Leicester City
Thomas Wilson-Brown,ENG,DF,19.0,0,0,,,,,,,,,,,Leicester City
Mohamed Salah,EGY,FW,32.0,38,38,"3,371",37.5,29.0,18.0,47.0,20.0,9.0,9.0,1.0,0.0,Liverpool
Virgil van Dijk,NED,DF,33.0,37,37,"3,330",37.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,Liverpool
Ryan Gravenberch,NED,MF,22.0,37,37,"3,160",35.1,0.0,4.0,4.0,0.0,0.0,0.0,6.0,1.0,Liverpool
Alexis Mac Allister,ARG,MF,25.0,35,30,"2,599",28.9,5.0,5.0,10.0,5.0,0.0,0.0,6.0,0.0,Liverpool
Ibrahima Konaté,FRA,DF,25.0,31,30,"2,560",28.4,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,Liverpool
Dominik Szoboszlai,HUN,MF,23.0,36,29,"2,491",27.7,6.0,6.0,12.0,6.0,0.0,0.0,6.0,0.0,Liverpool
Andrew Robertson,SCO,DF,30.0,33,29,"2,482",27.6,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,Liverpool
Alisson,BRA,GK,31.0,28,28,"2,508",27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Luis Díaz,COL,FW,27.0,36,28,"2,399",26.7,13.0,5.0,18.0,13.0,0.0,0.0,2.0,0.0,Liverpool
Trent Alexander-Arnold,ENG,DF,25.0,33,28,"2,365",26.3,3.0,6.0,9.0,3.0,0.0,0.0,5.0,0.0,Liverpool
Cody Gakpo,NED,FW,25.0,35,23,"1,935",21.5,10.0,4.0,14.0,10.0,0.0,0.0,5.0,0.0,Liverpool
Curtis Jones,ENG,"MF,DF",23.0,33,19,"1,712",19.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,Liverpool
Diogo Jota,POR,FW,27.0,26,14,"1,196",13.3,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,Liverpool
Caoimhín Kelleher,IRL,GK,25.0,10,10,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Kostas Tsimikas,GRE,DF,28.0,18,9,837,9.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,Liverpool
Darwin Núñez,URU,FW,25.0,30,8,"1,133",12.6,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,Liverpool
Conor Bradley,NIR,DF,21.0,19,7,754,8.4,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,Liverpool
Joe Gomez,ENG,DF,27.0,9,6,519,5.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Liverpool
Jarell Quansah,ENG,DF,21.0,13,4,495,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Liverpool
Harvey Elliott,ENG,MF,21.0,18,2,371,4.1,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,Liverpool
Wataru Endo,JPN,"MF,DF",31.0,20,1,273,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Federico Chiesa,ITA,FW,26.0,6,1,108,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Vitezslav Jaros,CZE,GK,23.0,1,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Jayden Danns,ENG,MF,18.0,1,0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool
Harvey Davies,ENG,GK,20.0,0,0,,,,,,,,,,,Liverpool
James McConnell,ENG,MF,19.0,0,0,,,,,,,,,,,Liverpool
Tyler Morton,ENG,MF,21.0,0,0,,,,,,,,,,,Liverpool
Amara Nallo,ENG,DF,17.0,0,0,,,,,,,,,,,Liverpool
Trey Nyoni,ENG,MF,17.0,0,0,,,,,,,,,,,Liverpool
Joško Gvardiol,CRO,DF,22.0,37,36,"3,277",36.4,5.0,0.0,5.0,5.0,0.0,0.0,2.0,0.0,Manchester City
Erling Haaland,NOR,FW,24.0,31,31,"2,736",30.4,22.0,3.0,25.0,19.0,3.0,4.0,2.0,0.0,Manchester City
Bernardo Silva,POR,"MF,FW",29.0,33,29,"2,670",29.7,4.0,4.0,8.0,4.0,0.0,0.0,7.0,0.0,Manchester City
Ederson,BRA,GK,30.0,26,26,"2,320",25.8,0.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,Manchester City
